id_aditivo;id_instrumento;identificacao_instrumento;numero_aditivo;tipo_alteracao;numero_processo;data_assinatura;data_publicacao;publicacao_doe;vigencia_termino_anterior;vigencia_termino_nova;prazo_prorrogacao_meses;valor_aditivo;descricao
1;6;31/2023;1;PRORROGAÇÃO;25792.000050/2023-43;16/07/2025;18/07/2025;;18/07/2025;15/07/2028;36;;Prorrogação da vigência por 36 meses
2;7;32/2023;1;PRORROGAÇÃO;01.02.017306.001826/2026-90;06/07/2026;23/07/2026;EXTRATO Nº 019/2026/FVS-RCP;18/07/2026;17/07/2028;;;Prorrogação da vigência até 17/07/2028
3;9;34/2023;1;PRORROGAÇÃO;01.02.017306.003246/2024-75/SIGED;16/07/2024;22/07/2024;EXTRATO Nº 062/2024/FVS-RCP;18/07/2024;18/07/2028;48;;Prorrogação da vigência por 48 meses
4;11;37/2023;1;PRORROGAÇÃO;01.02.017306.003622/2024-21/SIGED;16/07/2024;22/07/2024;EXTRATO Nº 063/2024/FVS-RCP;18/07/2024;18/07/2028;48;;Prorrogação da vigência por 48 meses
